Number of Followers,Location,Screen Name,Tweet,
594,"Milwaukee, WI",joshlepak,b'@1250AMTheFan @PFF @Ihartitz @Radiodotcom Start one at running back ppr Darrell Henderson or Antonio Gibson #BigFantasy',
682,Massachusetts,Serisothikos,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
157,she/her l 25,rapunzelariels,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
65,Cleveland,nwdrone410,b'@SheaSerrano What else have these guys made that would make me pumped for this...b/c it makes me think of Crank but\xe2\x80\xa6 https://t.co/oy6MI8lQZ2',
225,,MarshallZann,"b'RT @GuitarWorld: .@orianthi, @EmilyWolfeMusic, @CelisseMusic and @RitaWilson are set to play the Gibson and Women Who Rock virtual concert\xe2\x80\xa6'",
306,,delvecko74,b'@FantasyAdvice99 Gibson or Jon Taylor in a PPR? Leaning Gibson...',
2658,"out front, leaning on the horn",MelanieMoore,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
64,,devilspalm16,b'@Romans_Gibson @MysteryGrove How does he hold on to the book with his thumb over the cover as well??? Are you sayin\xe2\x80\xa6 https://t.co/A7akVUjPtY',
543,"Canton,, MI",Paladin4221,"b""RT @davidgross_man: kinda sucks that mel gibson can trade on his 80s reputation for camp skipping over the fact that he's a deranged anti-s\xe2\x80\xa6""",
213,Rock Hill,j_vahle00,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
3356,New Zealand,eloise_gibson,"b'@stateless @OliviaWannan To me, it reinforces other interesting research about tribalism, and the different reactio\xe2\x80\xa6 https://t.co/AY6B08sQcB'",
535,NY,FatimaMadsen1,"b""RT @EWErickson: I don't know what demented mind came up with this, but I like it! https://t.co/v39PYw7QSe""",
770,Southern California,brookamimi,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
4,,psykomyko18,"b""RT @LightsCameraPod: New trailer for 'Fatman', a dark-comedy starring Mel Gibson as Santa, hunted down after giving a kid coal for Christma\xe2\x80\xa6""",
159,Dutchess County,glindatheb,"b'@CasparSalmon I might have worded it ""... in which Marianne Jean-Baptiste kisses Mel Gibson."" But you do you.'",
1211,Planet Awesome!,TeriosDaddy,b'RT @IGN: Fatman sees Santa Claus (Mel Gibson) down on his luck and entering into a partnership with\xe2\x80\xa6 the US military? https://t.co/fxS2RIZ9\xe2\x80\xa6',
3193,"Akron, OH",potheadgrlfrend,"b""RT @HayesBrown: my only comment is this movie is exactly what mel gibson's career deserves""",
139,,JeremyGray402,b'I don\xe2\x80\x99t even know what to think about this...other than maybe Mel Gibson has completely lost his mind https://t.co/8zz6MClXMT',
20,"El Dorado Hills, CA",egfancyrider60,b'@susanslusser Heard Ecklersley has been practicing his \xe2\x80\x9cback door slider\xe2\x80\x9d and wants to redeem himself after the Gib\xe2\x80\xa6 https://t.co/vZeR1GfsMY',
184,bible belt ,Book_worm_1313,"b'2020 is a strange trip. Mel Gibson is relevant. Next, Paul Ruebens AKA Pee Wee Herman is not creepy.'",
21009,Montréal/Los Angeles,QueenofSpain,"b""I don't EVER want to hear another word about LIBERAL HOLLYWOOD with Mel Gibson still staring in leading roles""",
263,"Newcastle Upon Tyne, England",LeJarraMusic,b'Think I need a Gibson SG in my life in fact I definitely do',
686,RPAC,Jsmallsiii,"b'@FantasyAdvice99 Pick 2 for PPR Kenyan drake, Antonio Gibson, Darius slayton'",
116,skz/atz/nct/mx/shinee/bts++,sunriseyunho,"b""RT @davidgross_man: kinda sucks that mel gibson can trade on his 80s reputation for camp skipping over the fact that he's a deranged anti-s\xe2\x80\xa6""",
183,shitpost central,pucariii,"b""Isn't mel gibson the actor who did the weird monologue thing at some R/NC thing""",
161,anarchist jurisdiction,craigvdodge,"b'@pattonoswalt So\xe2\x80\xa6 Hogfather but not as clever, and Mel Gibson?'",
2986,New England,MikeReedyFF,b'@M_Gibbss I would sell Gibson there',
1787,Undisclosed Location,Moniorti,"b'RT @slimdote: @pattonoswalt Remember this next time someone bemoans cancel culture, because it does not exist.\n\nMel Gibson is repugnant.'",
52,,sergio09101991,"b'@davidgross_man lol 80s reputation. Gibson was strong in the 80s, 90s and 2000s (as director mostly). How about you\xe2\x80\xa6 https://t.co/q7Z5WL9GMB'",
52,,or_gibson,b'Good for her https://t.co/RQCxXrGt1g',
6372,United States,LatinxGeeks,"b""RT @davidgross_man: kinda sucks that mel gibson can trade on his 80s reputation for camp skipping over the fact that he's a deranged anti-s\xe2\x80\xa6""",
148,,cailloudepluie,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
3026,Land of Sugar ~ Republic of TX,TexCzex,b'RT @IGN: Fatman sees Santa Claus (Mel Gibson) down on his luck and entering into a partnership with\xe2\x80\xa6 the US military? https://t.co/fxS2RIZ9\xe2\x80\xa6',
8785,Toronto ,acechhh,"b""RT @davidgross_man: kinda sucks that mel gibson can trade on his 80s reputation for camp skipping over the fact that he's a deranged anti-s\xe2\x80\xa6""",
1,,fantasyburner13,b'@FantasyAdvice99 Gibson Sanders or Boyd pick 2\xf0\x9f\xa4\x94',
27,,fuckdotgov,"b""RT @davidgross_man: kinda sucks that mel gibson can trade on his 80s reputation for camp skipping over the fact that he's a deranged anti-s\xe2\x80\xa6""",
458,,danielleisback_,b'RT @YaGalAlexis: The fact that Mel Gibson still gets work is proof that there isn\xe2\x80\x99t any kind of \xe2\x80\x9cwoke liberal agenda\xe2\x80\x9d in Hollywood.',
7735,"Chicago, IL",GrantSwanson88,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
42,"Mumbai, India",niru777,"b""SAW MEL GIBSON TRENDING...NOPE HE'S FINE https://t.co/gS0M1jEPzq""",
707,,Hello2UWorld_,b'RT @IGN: Fatman sees Santa Claus (Mel Gibson) down on his luck and entering into a partnership with\xe2\x80\xa6 the US military? https://t.co/fxS2RIZ9\xe2\x80\xa6',
214,Porchview ,kccetalldead2me,"b""RT @BaddCompani: @ZevShalev @ericgarland An op I've outlined that began back in 2017 When Roger Stone came to Salem. Hey Alex Jones, How's\xe2\x80\xa6""",
3556,USA,moniqueblognet,"b""RT @davidgross_man: kinda sucks that mel gibson can trade on his 80s reputation for camp skipping over the fact that he's a deranged anti-s\xe2\x80\xa6""",
595,"Sanford, ME / Manahawkin, NJ",omgitzdestineex,"b""RT @EWErickson: I don't know what demented mind came up with this, but I like it! https://t.co/v39PYw7QSe""",
85,PNW,kvothelute,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
25,"Earth, Sol System, Milkyway",CaveHobbit_ATM,"b'A few people may still hate Mel Gibson, but this movie is going to make millions. https://t.co/JbiDVCwmcx'",
102,Austin,BigBeanBrand,"b'@FantasyAdvice99 Pick three in PPR: Antonio Gibson, Devin Singletary, Melvin Gordon, Will Fuller, Diontae Johnson a\xe2\x80\xa6 https://t.co/qx4ddd73Ic'",
233,"California, USA",im_kirby,b'RT @YaGalAlexis: The fact that Mel Gibson still gets work is proof that there isn\xe2\x80\x99t any kind of \xe2\x80\x9cwoke liberal agenda\xe2\x80\x9d in Hollywood.',
638,"Dublin City, Ireland",beaglehaus,b'@Llarian @mattoak This looks fookin amazing but damn why it gotta be Mel Gibson',
631,"Washington, DC metropolitan ar",oletheros,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
137,"Jefferson City, MO",JamieTwinA,"b'RT @MOcatholic: New #MCCfromtheCapitol episode! Preserving Catholic Ed\xe2\x80\x94 Dr. Erin Vader, superintendent for schools in the @DioJeffCity and\xe2\x80\xa6'",
917,In need of coffee,GrumpyKelson,b'Instead of having more Mel Gibson movies\xe2\x80\x94let alone as Santa Claus\xe2\x80\x94can we instead have a documentary where Melania h\xe2\x80\xa6 https://t.co/ABd8PHJJYw',
5046,Toronto,HertzBarry,"b'Finally, Mel Gibson finds the one role where he can legitimately avoid Jewish people forever. https://t.co/tHcjAFCGtW'",
2618,So Cal,krinhoh,"b'@JoParkerBear No Mel Gibson vieweings ever again. However, now I really need to see what the hell the plot is. I th\xe2\x80\xa6 https://t.co/sTzSPQj6K1'",
308,"Los Angeles, CA",Slorella68382,"b""RT @Rozz_Hardy: @IGN I mean, WTF with this movie. \xf0\x9f\xa4\xad But, what the hell, I will watch it anyway. \xf0\x9f\x98\x9c It's Mel Gibson.\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbb\xf0\x9f\x98\x8e https://t.co/U4V5RnDO\xe2\x80\xa6""",
1787,Undisclosed Location,Moniorti,"b'RT @HalpernAlex: If you want me to watch your movie, don\xe2\x80\x99t cast Mel Gibson.'",
5158,Dallas/Ft Worth Texas,JackFMDFW,b'Mel Gibson Stars As A Much More Intense Version Of Santa Claus In New \xe2\x80\x98Fatman\xe2\x80\x99 Trailer\nhttps://t.co/DJX0P8CNEh',
3356,New Zealand,eloise_gibson,"b'@stateless @OliviaWannan Headline says ""may"" for that exact reason ;) That split between the already-inclined and a\xe2\x80\xa6 https://t.co/RSwgQhGS55'",
550,,Maswartz226,b'RT @YaGalAlexis: The fact that Mel Gibson still gets work is proof that there isn\xe2\x80\x99t any kind of \xe2\x80\x9cwoke liberal agenda\xe2\x80\x9d in Hollywood.',
153,"Denver, CO",NotBrit_ish,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
48,"Georgia, USA",freshant123,"b'@khscar12 I was trying to find the GIF when Tyrese Gibson was like ""I thought you said that thing was dead man!"" In Transformers 1 \xf0\x9f\xa4\xa3'",
28,"Columbus, OH",crazycarl864,"b""@pattonoswalt Shame I won't watch it though, cause Gibson and all.""",
