Number of Followers,Location,Screen Name,Tweet,
65,,cihangrss,b'@LandonGuitar FENDER BLUES JR. 3 &amp, LANEY CUBE 12R'
1660,,SurfRockRadio,b'#nowPlaying on Surf Rock Radio: Five [2rW] by Surferific Dudes - Hi! Listen live on https://t.co/7PJjXKxOwv\xe2\x80\xa6 https://t.co/l5LA6g2vNQ',
1675,,firstonsite,"b""In this age of mounting risks, restoration is a key element in protecting property. FirstOnSite's Bill Fender will\xe2\x80\xa6 https://t.co/zIBQcTOBd9""",
873,,phanasfire,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
665618,www.instagram.com/fender,Fender,"b""@MnwHoedNpUPSoZZ We're glad you think so! \xf0\x9f\x8e\xb8\xf0\x9f\xa4\x98""",
276,,MarilynHarden13,b'RT @MarilynHarden13: @ALavoipierre @realDonaldTrump U need to go to get help are u a sex Child a fender Because U are out there please get\xe2\x80\xa6',
276,,MarilynHarden13,b'@ALavoipierre @realDonaldTrump U need to go to get help are u a sex Child a fender Because U are out there please get help \xf0\x9f\x99\x8f',
34,"California, USA",GradNuts,b'RT @Skatunenetwork: Y\xe2\x80\x99all ever just listen to the incredible music in DIY made by black and brown folk and wonder why it\xe2\x80\x99s slept on but whi\xe2\x80\xa6',
32,The World,mysightsoflife,b'@iDKHOW @Fender Latin America neglected once again\n\n* Pout *',
1660,,SurfRockRadio,b'#nowPlaying on Surf Rock Radio: Riders In The Mountains [1lT] by The Silicon! Listen live on\xe2\x80\xa6 https://t.co/AFvB0lqTV3',
444,they/them | 16 | BLM | ACAB,cxmeterydrivx,"b""@iDKHOW @Fender IM CZECH IT'S ABOUT AN HOUR OF TRAVEL FROM HERE TO GERMANY I HATE IT HERE https://t.co/EoiqIDBAHw""",
36,,wryyyctoria,b'@iDKHOW @Fender So glad to be french right now',
388,,rydewolf,b'@Fender Thanks for that guys \xf0\x9f\x8e\xb8\xf0\x9f\x90\xba\xf0\x9f\x8e\xb5',
20129,"Boulder County, CO",joshshepperd,b'@EtheHerring Really good! Fender? Les Paul?',
620,she/they,elegant_crimes_,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
708,jersey • she/her • bi • ,underscoremindy,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
36,🇮🇪🇮🇪🇮🇪 she/hehe,stephaniealk3,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
1036,,tangoCTO,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
155, 🇨🇱 | they / them ,exitiumlovers,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
66,,troyhotton,b'@RMinENC TA Toomes (on the fender) was a behind the scenes guy for a lot of race teams.  I believe he got his start\xe2\x80\xa6 https://t.co/d9hElX5iue',
1310,nj,ROYALAMlTY,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
162,,Beanie60926981,b'@iDKHOW @Fender What flavor...?',
22,,theopeningband_,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
21,Italy,Perbarche,b'RT @BarcosOcasion: Best Price Online for Boat Dock Fender EVA Blue 95 x 18 x H35cm https://t.co/BvKQwVy7jG https://t.co/XN8Bcbmcbz',
833,"Edinburgh, Scotland",rodnoise56,"b'@SophieGraceCha1 Fender spring reverb on the guitars, vocal are basically dry. Still love this track.'",
2936,Italy with the Bucci gang,AlexJoestar622,b'RT @sauerbrunnn: @iDKHOW @Fender i thought that said jazzmatazz bye',
645,,mysterygirliee,b'RT @CALIFORNIACRUE: fender guitar picks... i want to eat one',
561,"Teaneck, NJ",LarkStreetMusic,b'FENDER  Jazz Bass Shell Pink https://t.co/uWCJHqntC8 https://t.co/LsGKkRqhns',
2776,WorldWide,JohnBuscarino,"b""RT @Fender: To celebrate the release of @HERMusicx's signature Strat, \n@ytcreative created a capsule collection inspired by the guitar. Rea\xe2\x80\xa6""",
77,,AllysinGrey,"b""@mralpete Let's go!\n\nhttps://t.co/a11eq6l4UM https://t.co/1HB96gdfkt""",
416,"Los Angeles, CA",arodweb,b'@Fender Best company \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x8e\xb8',
21,Italy,Perbarche,b'RT @BarcosOcasion: Best Price Online for Boat Fender Covers https://t.co/D98frK9aTE https://t.co/0CZENSlGt7',
27,,douglasbonar11,b'@PanicAtTheDisco @Fender free',
162,,Beanie60926981,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
21,Italy,Perbarche,b'RT @BarcosOcasion: Best Price Online for Boat Fendering Profiles https://t.co/YmuZ1bQLma https://t.co/w2qwATKMwB',
619,"St Paul, MN",williesguitars,b'1978 Fender Princeton Reverb with all its original paperwork. Hand wired. Pull boost on volume. 100% factory origin\xe2\x80\xa6 https://t.co/LRrYRD1h7b',
416,"Los Angeles, CA",arodweb,"b'#TBT ... Salvador Cuevas among others , is a prime example of artistry without boundaries... His sound and approach\xe2\x80\xa6 https://t.co/NND8VjZguj'",
2077,"HOU, TX",_keyannanichole,b'At least crop the fender bender out the picture \xf0\x9f\x92\x80. https://t.co/L1d0V2cDqH',
220,,bribriHEARTS,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
21,Italy,Perbarche,b'RT @BarcosOcasion: Best Price Online for Boat Stainless Steel Fender Washers https://t.co/WKx5fVn1f6 https://t.co/zoTmuWewsq',
3567,Stamford,eoin_jennings,b'RT @archeteer: \xf0\x9f\xa5\xb0\nFender Stratocaster  1964 Sunburst 100% original https://t.co/JiNJVIMc10 https://t.co/QSHNyWG58T',
494,Italy,RoccoSaviano81,"b'""Night Bow"" is an improvised guitar meditation made with my Fender Telecaster and Ebow, using a custom ambient patc\xe2\x80\xa6 https://t.co/Gm5HSWMiJG'",
118,"Westchester, CA",WrightSteam,b'RT @LDNESchools: Attention all middle schoolers sign up for Fender Play Middle School Program. Registration begins October 13th. Spots fill\xe2\x80\xa6',
49,"Omaha, NE",gsclang,"b""RT @Fender: To celebrate the release of @HERMusicx's signature Strat, \n@ytcreative created a capsule collection inspired by the guitar. Rea\xe2\x80\xa6""",
107,"California, USA",kiwic_74,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
98,"Missouri, USA",realJCshow,"b""@LandonGuitar '59 Fender Bassman reissue and a modded, handwired '73 Super Reverb running in stereo.""",
1660,,SurfRockRadio,b'#nowPlaying on Surf Rock Radio: The Fun Guy from Yuggoth [2A5] by Beachmasters of the Universe! Listen live on\xe2\x80\xa6 https://t.co/gu3ee9mTr0',
1218,"Loughton, Essex, UK",darren_lock,b'@brendaneyre @Fender I AM THE LORD OF THE FLIES!!! \xf0\x9f\xa6\x9f',
1958,,radioinsomniafm,b'#NowPlaying Raf Fender - Progressive Mind 082 (August 2020) https://t.co/Lwk1Qsvtu7 #INSOMNIAFM',
15479,1200+ Newsrooms,CNNNewsource,b'STREAMING PKG: @Fender is extending its free online guitar lessons through the end of the year. Details in PY-11TH. https://t.co/nRt4KpTjL9',
555,she/her,okayonion,b'RT @Skatunenetwork: Y\xe2\x80\x99all ever just listen to the incredible music in DIY made by black and brown folk and wonder why it\xe2\x80\x99s slept on but whi\xe2\x80\xa6',
524,United States,senseilaraw,b'RT @Skatunenetwork: Y\xe2\x80\x99all ever just listen to the incredible music in DIY made by black and brown folk and wonder why it\xe2\x80\x99s slept on but whi\xe2\x80\xa6',
105,"Richmond, Virginia",ThePackLeader,b'And here\xe2\x80\x99s Fender to balance them out https://t.co/jaYP4G5tvc',
665618,www.instagram.com/fender,Fender,b'@pauladamsbass Sounds like you have a pretty sweet collection! \xf0\x9f\x8e\xb8\xf0\x9f\x94\xa5',
0,,marla_reyna,b'RT @billieeilish: The Billie Eilish Ukulele is available now. @Fender https://t.co/yx7SckOY8u https://t.co/z5QuS15wiZ',
255,,ArFawks,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
521,"Tampa, FL",FFMonthly,b'@VAPERROR Used fender jazz bass or p-bass. Never look back. Try https://t.co/SPRnOwSJE2',
104,Illinois,TopGunKyo,b'@iDKHOW @Fender It\xe2\x80\x99s so pretty but I don\xe2\x80\x99t know how to play',
597,"Amsterdam, The Netherlands",zaridijkema,b'@heaveninmybed @brinascottrill @zaralarsson @SabrinaAnnLynn thank u!!! it\xe2\x80\x99s a fender electric guitar',
1415,🇧🇷, cagays/seita/oh ok♡,TR0HLEY,b'@iDKHOW @Fender its because im brazilian?'
665618,www.instagram.com/fender,Fender,b'@shruppet Shruppet has great taste. \xf0\x9f\x98\x8e\xf0\x9f\xa4\x98',
1660,,SurfRockRadio,b'#nowPlaying on Surf Rock Radio: Caught In The Undertow [1RY] by V.A. - The Retroliners! Listen live on\xe2\x80\xa6 https://t.co/BH7CZ45h4k',
26,,cyanideziptie,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
